Id,Predicted
0,.sOinkRIsiGDhkasthvAnhmhlzWudnathfektDhbillfrAnhmhlRIsrcsignifikhntlI!.
1,.SemRakHAzintRissintelhviZhnAndREdIOstEShnz.endrjIsrvisizRIlistEtAndvencrkAphthl.
2,.hbRitiSkhmp?UtrbRAndzlykshnkleRAndEkoRnHAvblUmdbhtkWiklIfEdid_piRIhd_.
3,.!HIsez_EkhngetkoRnEdtisEDhtn?Uzikizhv?UnhvrshlbyiGlijbyDhtRIlIez.
4,.?etIvinAtEtIsiksHIizkhnsidrdDhkhntRIzmOstynAmikphlithkhlfig?r_.
5,.bhtDeRpap?hleRhtIgRUpsslOlI.bikhztRAnzmiShnofhnWhslhgiSkamh_pRintiGmesI_hndmhSInzkudhn.dhbhlkWOt.tok.dhbhlkWOt.tUIchDrifiShntlI!piRIhd.
6,.DhpIphlzpaRtIkanjREtmUvdintikIphziShnzhneRIhzhvphblikAdministREShn.inklUdiGHelT_ejhkEShn!lEbr_foRhnRIlEShnzhndAgRh!.
7,..sIprvyzrztOltidDhtifHIdidhnSEzkamh@IWudbItRAnsrtUhphziShnkamh@AthlOrsAlrIkamh@DhdinthnvalvphblikkantAkt.piRIhd!.
8,.inhsepRhtinsidhnt.h?UesdistRYrfyrdmiSInDAthWoRniGSatsAttUsmolhnydethfydbOtsDhthpROcDhkanRY!.
9,..mItWylkamh@DI?IldDhnmenIm?UnishphlRevhn?UbandzHAzbinHhvriGrwnEtAndWhnETprsent.piRIhd_.
10,.OnlIhf?UstEtsRIkWyrhnimplYmhntkamphnsEShnfrlaktwtWrkrz.
11,.olsikstInAnhlhsinDhsrvEpRidikIztRoGgrTrdkWoRtrDhnDhslhgiS.sekhnkWoRtr.piRIhd_.
12,.AndDEmEbIEbrlugethWEWhTDhlatnoRhvDIzphblisitImhnOvrzWiTwt!giviGhpmhcRIlgRwnd.
13,.WylnatRUliGwtDhtDI?UeskrhnsIkuddiklynOvrtym_mistrlipskIhvsAlhmhnsezHITiGksDhjuRIizstilwt_.
14,._DhgWaRdIwtHAzOnlIfiftIsevhngEtsbhtAtpIkwrz.dhzhnzhvmoRplEnznEbIanDhgRwnd.
15,.DhfrmseditdhzhnkamentanitstakRekhmhnEShnzoRrdiGzAsthmht.
16,.bikhzDhkhnsrvhtivpaRtIkhntROlzDhpaRlhmhnt.DhWinrhvDhtappaRtIpOstolsObikhmzpRymminhstr_.
17,.maRkitAkShnWhzhntsenShlIddyjhstiGWenzdEzRAi.
18,.DisikstIHyfhndEtUsikstIfyvHyfhndEshplyizthmsidrdkhmpcrhbhl.piRIhd!.
19,.pItrhfbeRIshksIdzmistrkhnniRindWaSiGthnezhvyspRezhdent!.
20,..frmhnsHIHAdshfrdnytsWisfIvrzAtWEtlos..
21,.shmitsHAvDeRphlitikhlbenhfitshvkoRs_natlIstDhtDhpRezhdent.damhnEtsDhn?Uz.
22,.mistrkAtshnbrgsedm?UzikhnphbliSiG!oReRIhsdiznIWudfrDrikspoRWiTDhmaphts.piRIhd!.
23,.!injAn?UeRIDIeRhvikspIkiGhmEtIst.eksprt.mistrmaRtsHiROsof_hRyvditEkcaRjhvDhdelhgEShn
24,.AzmizkendhlindmistrlOsIit.swTAfrkhzsentRhlghvrnmhnt.izWykhbig!lhmbriGtAGk!.
25,.DeRETiGkstElItidEizhnIvidbetrbREkhpplEDAtinnyntInEtIsiksWindRekshlAnditsklyhntshk?Um?hlEtidDhstakpiRIhd.
26,..IvinlIhvlil?hnsanDhfloRhvDhnU?oRkstakikscEnjWhztemprdbyEf?UklIbIdh.
27,.itinvydidRezdhntsthjYnhkhmitItieRDeRgRypshgenstDhkhmphnIhnddiskhsshlUShnz.
28,..hfiShlzhndtigOstigabhsedDhplEnignoRdrpWeststUlAndAftrintrinHhndrinenRh!.
29,.stil_kamh@DhbukiznatintendidezEkafIHyfhntEbhldisplEpIspiRIhd.
30,.lAstWIk.kamh_DhphRUvIhnghvrmhntoRdrdDhtolsOvrpRhdUstbystEtHyfhnOndmynz!mhstbIsOldtUDhsentRhlbAGk.piRIhd!.
31,.DhfelhpInmilhteRIseditHAdhnkhvrdhplybykam?hnhstgrilhztikilRItyrd?UesmEjrjenrhlsiGglAb_.
32,.DhfIanDhgREnoRbEsik!kaRd.WhljhmpttUfiftIfyvdalrrz.
33,.!shmfoRshzsedshmhmhvDhlestRhdiShnhlHOldrzhvjenrhl.dhpbeljIksSeRzkudbItemptidbyDhpRaspekthvkAphthlgEnz.
34,.bhthcynIzHyfhnbAktphmerhRUnzizthstRoGghstfoRshnhTRIHyfhnpaRtIRIzisthdskOhlUShnkamh_hndbAkrdrzsEHitnmhstHAvhROl.piRIhd.
35,.hndrDhbywtplAnkamh@shntr!intendztUbiginEkAStendrofrfrolhvelhgEnIzSeRzwtstAndiGbyfRydE.piRIhd.
36,.mistrpOlOolsOOnzDhfAShnkhmphnI!.
37,.DhRESIhvsignhldfyvhvDhmaRkitssevhnkWoRtrlIdwntrnzinDhnyntInsevhntItiEtIsevhnpiRIhd.piRIhd.
38,.endbIsydzkamh@nAnWhzhloGtymhgO.piRIhd.
39,.HwevrinkRIsiGDhkasthvRIsrjAnhmhlzSidmOthvEtRIsrcrznatthWEsDhmanmiRlIkuRIhsoRRipedhtivsthdIz.
40,.penzYlHhzbinfRediGOvrDhdItElzhvmUviGDhmhnI!evrsen!.
41,..lAstHyfhnmenht!nIdIEShnhtwnsfwndrdOvrDIiSUzhvpwrHyfhnSeRiG_AndpIsHyfhnmanhtRiG.piRIhd.
42,.bhtlukhlithlfrDr_dASDeRaRWEzrwndHyRiGfRIshzpiRIhd!.
43,.mIntymmoRdhpaRcrzlUmenIfiRzDhtDIaprtUnhtIizfh!.
44,.HIvAl?UzDhpyplynAsetshTRIbil?hndalrzsemhkOlhn_DhSip.bildiGaprEShnzAt.tUbil?hndalrz.semIkOlhn.AndDIothmOtiv?UnitAtmoRDhnWhnbil?hndalrz.piRIhd_.
45,.n?UmrhskamRAdzWrhpYnthd.mOsthvHUmgRAcREtidfrm?UnhvrshtIzhndkamhnhstblaknEkShnz.
46,.itmEbIDhaRstRhkcrhndmhlthplishtIhvkoRprEShnzizhnDhmOshfektivfrDhf?Ucr_.
47,.joRdjDIaRkhneRDhsekhnd.WhznEmdtiDhn?UpOsthvsIn?rvyspRezhdent.incaRjhvloGREndplEtiGinRilEtidghvrmhntRIlEShnz.
48,.DhRizhltWhzpRh!.
49,.WIkApbIdogmAtikhbwtitpiRIhd!dhbhlkWOt!.
50,.Adzjhm@hdiviZhnmAnijrfohRItElr_itshdolgIt.dogWrl!.
51,..itizhplhtiSinkamh-AtolshndishpYntiGikspiRIhpspiRIhd_.
52,.DEklEmDEsiksIdidinDhshbjektivkamh@bhtjhjsOfeR+sezDhRekrd.SOzDhsOvIetsnevrhgRIdYt_semikOlhn_ifDEdidhntkamh_WySudWE!kWeschnmaRk!.
53,.inshminsthnsizkamh@mAninjmnhnttizlrniGhvDIzmItiGsUWelHyfhnplEst!mOlz.piRIhd.
54,.WIWrjenthlmenhhbwtit.piRIhd!.
55,..?UesWoRSipshndHelhkaptrz_cEsthWEhnranIhnWoRSHipfrmhkanhvlydhfoRkUWEtItAGkrzinDhpeZhnghlf!.
56,.DhREtiGkhnsrnolsOplEst!DhsiGghlHyfhnHyfhn.tUsIn?rdetREtiG_olsIAspekshnz.tekshsgAstRAnzmiShn?UnhtonRIv?Ukamh_WiT.dRekShnansrthn.piRIhd.
57,.mOstimpoRthnhlIkamh@zhbukkamh@lykDIigzivitkamh@przenshningEjiGsrvEhvinrlEstfoRmztiDhsencrIz.dASWhnWIkinWrdfRrmAndinjy.piRIhd.
58,.DhbRitiSphblikHhzgatm?UzdtUinjYntshclUtIleftthstoRIzezpaRthvitsReg?hlrn?UzpEprdyht_.
59,..DEkhnbIHleRIhslIfhnIkamh.AzWelezHylIfektivtUlzfrsAtyr_piRIhd.
60,.ekhnamikAghnIkamh@moRDhnRIfoRmkamhHAzpRadhdpOlhndtUletDhRipeRmAntlUs.piRIhd!.
61,.!DhShthlWudbIDhfrsttiliftofshnsDhnyntInEtIsikscAlhnjriksplOZhn_.
62,.WhnizDAtWIWhlHAvDhsrplhsbhtSedhnt..
63,.DhplAnWhzdiskhvrdAftrdikOtiGdAthkApcrdhlAstWIksrestrtWentIRebhllIdrz.
64,.maRkitAkShnWhzhsenShlIdhjestiGWenstEzRAlIpiRIhd.
