Id,Predicted
0,.sOinkRIsiGDhkasthvAnhmhlzWudnathfektDhbilfrAnhmhlRIsrcsignifikhntlI!.
1,.jAmakHAzintRisintelhviZhnAndREdIOstEShnz.endrjIsrvisizRIlistEtAndvencrkAphthl.
2,..DhbRitiSkhmp?UtrbRAndslyksinkleRAndEkoRnHAvblemdbhtkWiklIfEdid.piRIhd_.
3,._HIsez_hkhngiktkoRnItisEDht?Uzikizh?UnhvrshlbyGlijdbyDhtRIlIez.
4,.?etIvinAtEtIsiksHIizkhnsidrdDhkhntRIzmOstynAmikphlithkhlfig?r_.
5,.bhtDeRpap?hleRhtIgRUpsslOlE.bikhztRAnzmiShnofhnWhtslhgiSkamh_pRintiGmesI_hndmhSInzkudhn.dhbhlkWOt.top.dhbhlkWOt.tUIchDrifiShntlI!piRIhd!.
6,.DhpIphlspaRtIkaRdREtmUvdintikIphziShnzhndeRIhzhvphblikAdministREShn.inklUdiGHelT_ejhkEShn!lEbr_foRhnRIlEShnzhndAgR.
7,.sIprvyzrztOltidDhtifHIdidhnSEzkamh@HIWudbItRAnsrtUhphziShnkamh@AthlOrsAlrIkamh@DhdidntinvalvphblikkantAkt.piRIhd.
8,.inhsepRhtinshdent.h?UesdistRYrfyrdmhSIngAnWoRniGSaRtshtUsmolhnydenhfydbOtsDhthpROcDhkanvY!.
9,..mInWylkamh@DI?ldDhtmenIm?UnishphlRevhn?UbandzHAzbinHhvriGrwnEtAndWhnETprsent.piRIhd_.
10,.OnlIhf?UstEtsRIkWyrhnimplYmhntkamphnsEShnfrlaktwtWrkrz.
11,..olsikstInAnhlhsinDhsrvEpRidiktIztRoGrTrdkWoRtrhvDhnDhslhgiS.sekhnkWoRtr.piRIhd_.
12,.AndDEmEbIEvrDugethWEWiThlatnoRhvDIzphblisitIDhnUvrzWiTwtdivin@hp.mhcRIlgwnd.
13,.WylnatRUliGwtDhtDI?UeskrhnsIkuddiklynOvrtym_mistrlipskIhvsAlhmhnsezHITiGksDhjuRIizstilwt_.
14,._DhgWaRdIAHAzOnlIfiftIsevhngEts.bhtAt.pIkwrz.dhzhnzhvmoRplEnzmEbIanDhgRwnd_.
15,.DhfrmseditdhzhnkamentanitstakRekhvhdEShnzoRrniGzesthmht.
16,.bikhzDhkhnsrvhtivpaRtIkhntROlzDhpaRlhmhnt.DhWinrhvDhtap.paRtIpOstolsObikhmzpRymministr_.
17,.maRkitAkShhnWhzintsenShlIdDyjhstiinWenzDEzRwt.
18,.DisikstIHyfhndEtisikstIfyvHyfhndEshplyizdhnsidrdkhmtrhbhl.piRIhd!.
19,..pItrAfbeRIshksIdzmistrkhndiRinWaSiGthndezhvyspRezhdent.
20,..frmhnTsHIdAdshfrdnytsWitsf?UvrzAtWEtlos..
21,.shmitsHAvDeRphlitikhlbenhfitshvkoRs_natlIstDhtDhpRezhdent.damhnEtsDhn?Uz.
22,.mistrkAtchnbrggsed?UzikhnphbliSiG!oReRIhzdiznIWudfrDriksploRWiTDhmapits.piRIhd.
23,..injAn?UeRIDIeRhbikspIkiGmidIst.eksprt.mistrmaRcHiROzhf_RyvtitEkcaRjhvDhdelhgEShn.
24,.AzmizkAndhlinmistrlOsIit.swTAfrkhsentRhlghvrmhnt.izlykhbiglhmbriGtAGk_.
25,.DeRETiGkstElIthdEizhnIvidbetrbREkhpplYEDAtinnyntInEtIsiksWindRekshlAnditsklyhntshk?Um?hlEtidDhstakpiRIhd.
26,..IvinDIhvil?hnsanDhfoRhvDhnU?oRkstakikscEnjWhztemprdbyEf?UklIbIh!.
27,.itinvydidRezidhntsthjYnhkhmitItieRDergRypshgenstDhkhmphnIAnddiskhsshlUShnz.
28,.hfiShlzhntigOsthgatDhssedDhplEndignoRdrkWeststUlAndAftrentriGHhndrineRI!.
29,.stil_kamh@DhbukiznatintendidezEkafIHyfhntEbhldisplEpIs.piRIhd.
30,.lAstWIk!kamh_DhphRUvIhnghvrmhnt.oRdrdDhtolsOvrpRhdUstbystEtHyfhnOndmynzmhstbIsOldthDhsentRhlbAGk.piRIhd!.
31,.DhfilhpInmiliteRIseditHAdAnkhvrdhplybykamhnhstgRiliztikilRityrd?UesmEjrjenRhlsiGglab_.
32,.DhfI?oGDhgREnoRbEsik!kaRd.WhljhmpttUfiftIfyvdalrr!.
33,..shmsoRshsedshmhhvDhWestRhdiShnhlHOldrzhvjenrwlt.d@hpbeljIksSeRzkudbItemptidbyDhpRaspekhvkAphthlgEnz.
34,.bht.DhcynIzHyfhnbAktkhmeR@RUnzizdistRoGghstfoRsinhTRIHyfhnpaRtIRizisthnskhliShn!kamh_AndbAkrdrsEitmhstHAvROl.piRIhd.
35,.hndrDhbywtplAn.kamh@shntrintendztUbiginhkAStendrofrfrolhvelhgEnIzSeRzwtstAndiGbyfRydE.piRIhd.
36,.mistrpOlOolsOOnzDhfAShnkhmphnI!.
37,..DhRESIOsignhldfyvhvDhmaRkitsevhnkWoRtrlIdwntrnzinDhnyntInsevhntItiEtIsevhnpiRIhd.piRIhd.
38,..Andbisydz.kamh@nAmWhzhloGtymhgO.piRIhd.
39,.HwevrinkRIsiGDhkasthvRIsrcAnhmhlzSudmOthvEtRIsrcrznattUWEsDhmanmiRlIkeRIhsoRRipeditivsthdIz.
40,.penzYlHAzbinfRediGOvrDhDItElzhvmUviGDhmhnI!evrse!.
41,..lAstHyfhnmenht.mIdIEShnhtwntsfwndrdOvrDIiSUzhvpwrHyfhnSeRiG_AndpIsHyfhnmanhtrin.piRIhd!.
42,.bhtlukhlithlfrDr_dASDeRaRWEzrwndHyriGfRIsizpiRIhd!.
43,.mIntymmoRdhpaRcrzlUhmenIfiRzDhtDIaprtUnhtIizfR!.
44,.HIvAl?UUzDhpyplynAsetsAtTRIbil?hndalrzsemhkOlhn_DhSip.bildiGaprEShnzAt.tUbil?hndalrz.semikOlhn.AndDIathmOtiv?UnitAtmoRDhnWhnbil?hndalrz.piRIhd_.
45,.n?UmrhskamRAdzWrhpYnthd.mOsthvHUmgRAcWEdidfrm?UnhvrshtIzhndkam?hnhstblakmEkShns.
46,.itmEbIDhtaRstRhkcrhndmhlthplishtIivkoRprEShnzizhnDhmOsthfektivfrDhf?Ucr_.
47,..joRjbIaRkhneRDhsekhnd.WhznEmdtiDhn?UpOsthvsIn?rvyspRezidhdent.incaRjhvloGREndplAtiGinRilEtidghvrvhntRIlEShnz.
48,.DhRizhltWhzpan!.
49,..WIcAnbIdogmAtikhbwtit.piRIhd!dhbhlkWOOt..
50,.Adzjem@hdiviZhnmAnhjrfoRhRItEbr.itshdOlgIt.dogWrlld!.
51,..itizhpaniSiGkamh-AtofhndishpYntiGikspiRIhpzpiRIhd.
52,.DEklEmDEsiksIdidinDhshbjektivkamh@bhtjhjsOfeR+sezDhRekrd.SOzDhsOvIetsnevrhgRIddet_semikOlhn_ifDhdidhntkamh_WySudWE!kWeschnmaRk!.
53,.inshminsthnsizkamh@mAnenjmhnhntizlrniGhvDIzmItiGsUWelHyfhnplEst!mUlz.piRIhd.
54,.WIWrjenthlmenhhbwtit.piRIhd_.
55,..?UesWorSipshndHelhkaptrz_cEsthWEAnranIhndWoRSipfrmhkanhvydhfoRkUWEtItAGkrzhnDhpeZhngOlf!.
56,.DhREtiGkhmsrnolsOplEst!DhsiGghlHyfhnEHyfhn.tUsIn?rdetREtiG_osIeseksiz.tekshsgAstRAnzmiShn?UnhtonRIv?Ukamh_WiT.direkShnansrthnpiRIhd.
57,.mOsimpoRthnlIkamh@zhbukkamh@lykDIigzivitkamh@przentshningEjiGsrvEhvinrlEstfoRmztUDhsentrIz.dAS!WhnWIkhnlrndfRhmAndinjY.piRIhd.
58,.DhbRitiSphblikHhzgathn?UzdtUinjYndshclUnIleftthstoRIzezpaRthvitsReg?hlrn?UzpEprdyht_.
59,.DEkhnbIHleRIhslIfynEkamh.AzWelezHylIifektivtUlzfrsAtyr_piRIhd!.
60,.ekhnamikAghnEkamh@moRDhnRIfoRmkamh@HAzpRadhdpOlhnztUletDhRipeRmAntlUs.piRIhd!.
61,..DhShthlWudbIDhfrsttiliftakshnsDhnyntInEtIsikschnjriksplOZhn_.
62,.WhnizDAtWIWhlHAvDhsrplhsbhjSudhnt..
63,.DhplAnWhzdiskhvrdAftrdikOtiGdAthkApcrdilAstWIksrestrtWentIRebhllIdrz.
64,.maRkitAkShnWhzhsenShlIdyjestiGWenstEzRAlIpiRIhd!.
65,.AndshmcEnzkamh@shcezHwDEkoRprEShnkamhSeRdinkoRprEShnAndHyhtHOtelzkoRprEShn.kamh.insistEWhlmykpleniGhvRUmzhvElhbhlAtbaRginREts.piRIhd_.
66,.bhtbOskhmphtIESudbenhfitfhmhnhptrninDIYlAndhnnAcRhlgAsbUzmhts!.
67,.DhgOldkaRd.WicinkRUzhf?URhdiSnhlsrvhsizWhlnwkasthndsevhnIfyvdalrzi!.
68,.mistryzhmhn.DIaphziShnbiznismAnsezaRnnUfOizhnDhshlUShnbhtDeRizhnenIshlUShnWiTwtaRnOf.
69,.AftrDhTrdIHyfhndEpiRIhdkamh_DhSeRzWudbIkhnvrthbhlAthlOrRESIO..
