Id,Predicted
0,.sOinkRIsiGDhkasthvAnhmhlzWudnathfektDhbiilfrAnhmhlRIsrcssignifiknhlI!.
1,.SemRakHAzintRistintelhviZhnAndREdIOstEShnz.enrjIsrvisizRIlistEtAndvencrkAphthl.
2,.hbRitiSkhmp?UtrbRAnzlyksinkleRAndEkoRnHAvblimdbhtkWiklIfEdid.piRIhd_.
3,.HIsez.itkhngikkaRnEtthsEDht?Uzikizhg?UnhvrshlbyGlijbyDhtRIlIez.
4,.?etIvinAtEtIsiksHIizkhnsidrdDhtkhntRIzmOstynemikphlithkhlfig?r.
5,.bhtDeRpap?hleRhtIgRUslOlI.bikhztRAnzmiShnofhnWhzslhgiSkamh_pRintiGmesI.hndmhSInzkudhn.dhbhlkWOt.tok.dhbhlkWOt.tUIchDrifiShntlI.piRIhd.
6,.DhpIphlzpaRtIkandREtmUvdinthkIpphsiShnzhneRIhzAvphblikAdminhstREShn.inklUdiGHelT+ejhkEShn!lEbr_foRhnRIlEShnzhndAgR.
7,.sIprvyzrztOltidDhtifHIdidhnSEzkamh@IWudbItRAnsrtUhphziShnkamh@AthlOrsAlrIkamh@DhdidntinvalvphblikkantAkt.piRIhd.
8,..inhsepRhtinshdhnt.h?UesdistRYrfyRdmhSInDAthWoRniGSatsAttUsmolAndydenhfydbOtsDhthpROcDhkanvY!.
9,.mInWyldkamh@DI?IldDAnmenIm?UnishbhlRevhn?UbandzHAzbinHwvriGrwnEtAndWhnETprsent.piRIhd_.
10,.OnlIhf?UzstEtsRIkWyrhnimplEmhntkamphnsEShnfrlaktwtWrkrz.
11,..olsikstInAnhlhsinDhsrvEpRiditIztRoGrTrdkWoRtrDhnDhslhgiShn.sekhnkoRtr.piRIhd!.
12,.AndDEmEbIEvrlrgethWEWhThlatmoRhvDIzphblisitImhnOvrzWiTwt!divid@hp.mhcRIOlgwnd.
13,..WylnatRUliGwtDhtDI?UeskrhnsIkuddiklynOvrtym_mistrlipskIhvsAlhmhnsezHITiGksDhjuRIhzstilwt_.
14,._DhgWaRdIAHAzOnlIfiftIsevhngEtsbhtAtpItwrz.dhzhnzhvmoRplEnzmEbIanDhgRwnd.
15,.DhfrmseditdhzhnkamentanitstakRekhvhnEShnzoRrniGzesthmht.
16,.bikhzDhtkhnsrvhtivpaRtIkhntROlzDhpaRlhmhnt.DhWinrhvDhtap.paRtIpOstolsObikhmzpRymministr.
17,.maRkitAkShnWhzhnsenShlIddyjhstiGWenzdEzRAl.
18,.isikstIHyfhndEtisikstIfyvHyfhndEshplyizthnsidrdkhlpcrhbhl.piRIhd.
19,.pItrAfbeRIhshksIdzmistrkhniRindWaSiGthnDezhvyspRezhdent.
20,..frmhnTsHIHAdshfrdnytsWitsfIvrzinWEtlos..
21,.shmitsHAvDeRphlitikhlbenhfitshvkoRs.natlIst.DhtDhpRezhdent.damhnEtsDhn?Uz.
22,.mistrkAtchnbrgsedm?UzikhnphbliSiG!oReRIhsDiznIWudfrDrispoRWiTDhmhphts.piRIhd.
23,..injAn?UeRIDIeRhvikspIkiGhmitIzt.eksprt.mistrmaRciROsof_RyvditEkcaRjhvDhdelhgEShn.
24,.AzmizkAndhlinmistrlOsIit.swTAfrkhzsentRhlghvrmhnt.izlykhbiglhmbriGtAGk..
25,.DETiGkstElItidEizhnIvidbetrbREkhpplEDAtinnyntInEtIsiksWindRekshlAnditsklyhntshk?Um?hlEtidDhstakpiRIhd.
26,.IvinlIhvWil?hnsaDhvoRhvDhnU?oRkstakikscEnjWhztemprdbyf?UklIbITh!.
27,.itinvytidRezdhntsthjoYnitkhmitItieRDeRdRypshgenstDhkhmphnIhnddiskhsshlUShnz.
28,.hfiShlzhndtigOsthgatDhsedDhplEnignoRdrkWesttUlAndAftrentriGHhndrhneR!.
29,.stil_kamh@DhbukiznatintendidizEkafIHyfhntEbhldisplEpIspiRIhd.
30,.lAstWIk.kamh_DhpRUvIhnghvrmhntoRdrDhtolsOvrpRhdUstbystEtHyfhnOndmynzmhstbIsOldthDhsentRhlbAGk.piRIhd.
31,.DhfilhpInmilhteRIseditHAdhnkhvrdhplybykam?hnhstgriliztikilRItyrd?UesmEjrjenRhlsiGglAb@.
32,.DhfIonDhgRInoRbEsik!kaRd@WhljhmpttUfiftIfyvdalrr.
33,.shmsoRshsedshmhvDhlestRhdiSnhlHOldrzhvjenrwlt.dhpbiljIksSeRzkudbItemptidbyDhpRaspekhvkAphthlgEnz.
34,.bhtDhcynIzHyfhnbAktkhmehRUnzizthstRoGghstfoRsinhTRIHyfhnpaRtIRIzisthnskhlUShnkamh_hndbAkrrzsEHitmhstevrROl.piRIhd.
35,..hndrDhbywtplAnkamh@shntrintendztUbiginikAStendrofrfrolhvelhgEnIzSeRzwtstAndiGbyfRydE.piRIhd.
36,.mistrpOlOolsOOnzDhfAShnkhmphnI.
